longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-120.25459881152638,33.8513292883862,14.346989870531205,26908.7743623675,3718.4012129650696,13779.06230314964,3889.8934675128544,1.0625920935688682,<1H OCEAN,99978.48647674461
-114.49285693590085,37.41900947378358,13.595918752671992,31867.66252486051,5235.504708120611,16571.827771147626,1035.1457862688922,3.208201659351375,<1H OCEAN,175355.57894254674
-116.68006058188595,40.729458358764084,47.21898360657287,10020.215015902375,4941.285882706244,29909.595119896705,5234.494985565535,12.553064173804167,INLAND,397214.98901051626
-118.01341515802963,39.32224886409561,13.726856192324812,24995.71423608074,1001.1954806048352,11902.133498938045,3679.08431817638,11.618141166905868,ISLAND,208059.72452749775
-122.43981359557563,40.0656114786145,14.86943603256018,22870.69583378366,970.9723038498389,30438.130019371558,944.0660974581685,5.58431902612863,NEAR BAY,415391.6708085696
-122.44005479663798,38.587833667107176,39.72931138331615,33313.54941077727,1743.8652159741916,3087.440680891272,5774.066006829759,5.963754102726081,<1H OCEAN,193784.6533133641
-123.419163878318,38.92276564517852,23.93673196497754,36243.67024512946,2347.6246464904007,27188.61490699045,3110.6744145485886,8.236539286526902,NEAR BAY,123599.76728621816
-115.33823854225065,40.49195651565319,40.61223840471424,488.24654555251755,2655.5528235737283,29664.624514016607,438.31781277805834,0.5034945679344509,NEAR OCEAN,246131.7617811237
-117.9888498825679,34.49668008859186,4.333674035783647,26961.44872251359,4418.352212199911,6366.072396348344,3761.3705935859884,3.998042872551404,NEAR OCEAN,253523.53053011253
-116.91927422203955,36.894249636431404,25.8661308773426,2075.328293190921,369.36612864576426,15063.837593429898,1519.9402431698486,3.5193612248191095,ISLAND,57248.698347201636
-123.79415505704198,34.212094418196024,2.7142936093474144,21955.248885764082,226.33790476520545,5794.995613903956,4822.357017811937,4.13200272787157,<1H OCEAN,102670.28271784677
-114.30090147838006,41.87668007996647,4.195313376223081,11506.73389628904,2548.026748572465,24732.02470241064,4907.114619323577,12.1856347167349,INLAND,133216.70844776786
-115.67557359199579,41.440593396866134,47.228310120564956,12272.450427686605,4531.866835204735,18738.5658388538,5873.705187772117,4.555270919923426,<1H OCEAN,101114.2928204037
-121.87660889321724,32.39426811368506,8.101513926997352,14119.634221087359,1258.1362938741802,22237.411164751113,3011.715316615998,3.2770591697271483,NEAR BAY,203686.7339396137
-122.181750327929,39.05575172515688,28.153454796036073,24852.455377086306,4170.13762368438,6879.454382566521,2730.286321486695,7.811820181498957,NEAR OCEAN,484080.2850276581
-122.16595490146567,41.25248317415666,21.965875732636032,13363.33052681943,1689.6230684740062,7413.4699342485255,4521.100157073437,13.051853027404613,NEAR BAY,279150.1422471851
-120.95757757040462,33.80575345127333,18.714509639200976,29308.496625510037,5759.673621179043,1455.281900870193,795.6914673952175,3.999570705643748,ISLAND,332400.2107417909
-118.75243568367762,37.6794523055263,46.8915006300509,16182.28636818364,5822.08894778874,11274.397529244954,3281.946167244952,1.6387755204955812,NEAR OCEAN,210373.9153353627
-119.68054981357884,41.15488297588042,2.1129932355499648,2735.991305997725,1933.0695406243408,19592.383912694622,3277.9393531849746,5.667868669820138,INLAND,195569.49273941573
-121.08770859801957,32.33945978585799,34.853273994955046,31350.826179679323,1495.7294070071,30028.148185164515,537.7492637395129,11.340951456192178,NEAR OCEAN,60416.047361753765
-117.8814710527762,38.9742026724684,50.13311614489107,11431.761467059056,2674.064514458437,23343.45987871145,2508.4865289559743,8.485012898074523,<1H OCEAN,275150.1450542101
-122.60506139347959,34.97349007372551,29.568577356553938,17311.809650211308,1564.2147720857865,15240.565130021101,5119.855506604645,12.343503858828038,<1H OCEAN,267624.05303824984
-121.07855351464782,41.24396195376531,48.77794556368768,27418.384441109618,4370.822597552782,33359.34464345164,5137.065578345967,14.414086140333893,NEAR OCEAN,121023.82678150537
-120.33638156706309,41.71058245165368,3.6651518435872124,13299.581373634182,5369.594384879308,25174.424284552388,596.3267518531663,11.993605912898447,ISLAND,393945.80009301665
-119.43930015782963,41.44266489113434,22.35845927278223,2265.3130745563317,4375.425758791999,32555.991604580664,545.2345756042373,9.255144643234424,<1H OCEAN,271703.4486399513
-116.14824038606986,36.74214216657464,14.268047339064609,14958.094038418518,5358.453556673522,18466.99630060598,1576.9101665346097,7.653453026759517,<1H OCEAN,202547.286572708
-122.0032621784164,40.620426509893136,38.27186921401722,37778.05441060675,2581.0520621863743,9063.872904935506,5248.721609261407,1.0810017520498667,INLAND,116109.00906031714
-118.85765561586388,40.4454939853507,51.04615161535958,25670.09242314773,1016.9039926368868,1851.7755427061754,774.2866078559201,14.772668692803599,NEAR OCEAN,298472.3721369556
-118.07585431137957,35.19100473243255,14.083033184656639,26859.822988390944,4796.943207136951,25413.791547380315,4320.2608189620505,6.0604762773381164,<1H OCEAN,388767.6617399644
-123.53549587280003,40.28915474150678,34.362904675177795,25292.021581198318,2343.7238089149587,4248.241021199678,607.8925520590062,2.7073091017945687,ISLAND,176899.70870823725
-117.92455148098561,32.37007634715493,11.102979270746747,7961.287574099553,4363.5890931641325,10599.221164134035,3739.2039846332045,10.167278403248623,NEAR BAY,148457.45820952515
-122.29475876312708,37.96269878482053,29.831842983152104,16734.517896363002,1759.914978939495,18637.884363212757,2137.0477274157497,4.62218019188416,NEAR OCEAN,284870.73382905964
-123.3494840701472,34.30008837287703,24.660556821105146,30038.090054936005,528.9113966085657,19755.88732252783,4733.6948638322365,8.99378492850019,INLAND,119904.48612950763
-114.51114462746666,33.205668857772785,50.57227181120839,4056.7131563312596,6451.789088874974,21021.6101449588,1402.9090025033563,9.008134663746572,<1H OCEAN,349976.0239674282
-114.34367966925441,32.76953201629209,32.034890907519795,11115.55533803631,1016.1536000409648,5821.437796248473,3835.571774510369,6.963082403091603,ISLAND,322404.6325749037
-115.9160265188354,38.9628877587814,18.82482497642776,11054.211700417212,6424.748039768663,13292.669956543241,1414.8595249207337,12.623719925403119,NEAR OCEAN,89186.92231614288
-120.9538623082663,35.39874963768066,6.818885029284602,17281.89306592505,6352.342281749341,21602.946366412485,4282.248038389811,4.342022392553924,ISLAND,66434.17072161824
-123.02327885993616,39.24766771528761,8.713588265481661,39214.788900205516,5160.02385729835,33943.75080558856,5242.194529329932,7.005172578457145,ISLAND,329129.8936648632
-117.15766973487843,32.653563407989424,12.491163427512989,2701.96686225951,4286.589830570902,25467.906926076004,761.6839929614334,8.296535864569087,INLAND,182432.19829493336
-119.59847506260398,35.15290337830611,13.799299728355198,20749.00237323504,3756.1680195817994,32291.36368701724,5199.707535884426,10.122558451125844,NEAR OCEAN,88900.58892802935
-122.77961765155221,37.394912923753374,44.38141894989803,7176.228551124394,5629.793943410547,26678.135404821252,3561.857951231373,11.867591832331048,<1H OCEAN,391742.91723041894
-119.0482308988873,39.90723164838963,29.62236220240877,38827.12046329895,1882.0674510050521,20711.31876032734,763.5358347112768,6.224705601734713,INLAND,191319.80135793987
-123.65611478884782,35.187525029320696,27.692936480092687,4533.913582089113,3040.4601999392157,6723.24184966465,2565.823590302912,9.867680689400641,<1H OCEAN,256819.7973372006
-114.90679597921218,38.25891376437009,6.853212465330091,16145.232892458927,4026.415410912896,23334.99775928228,966.0009006171023,2.683858819493527,NEAR BAY,156565.81735419616
-121.41220018399983,40.85977748236187,44.86712436082118,29515.92362341458,2673.3269026758226,21819.414669898866,4202.386985310551,14.02339745786594,ISLAND,332292.68526108406
-117.37477715646018,38.15863188182305,37.86352946363267,28182.768012241755,2779.2344651326516,21087.613558492954,4553.44993837328,6.054352693104551,NEAR BAY,185669.78690946175
-120.8828892391059,34.32959474753634,4.4510864569000805,16910.300018483504,2147.5200540960464,17144.036021984462,635.6733251165209,11.078060618658357,ISLAND,485609.43255243276
-118.7993197882219,32.24400781556538,37.099589958718205,13862.273669772823,3667.9425766327995,18504.39516981268,3037.3329763151714,0.7949456872915759,INLAND,366326.396877608
